voting_id,voting_external_id,voting_date,voting_affair_external_id,voting_affair_number,voting_title_fr,voting_url_fr,voting_results_yes,voting_results_no,voting_results_abstention,voting_affair_title_fr,Référence,type_vote,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
142466,030108_AN-PL11926A-1,2024-02-02 19:28:00,PL 11926,PL 11926,"PL 11926-A, vote nominal : 1er débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL11926A-1.pdf,64.0,31.0,0.0,Modifiant la loi sur l'instruction publique (LIP) (C 1 10) (Formation des enseignants du primaire en 3 ans),C 1 10,PL,Loi sur l’instruction publique (LIP),C,C 1,Instruction publique,"Instruction publique, culture"
142467,030108_AN-PL11926A-2,2024-02-02 19:28:00,PL 11926,PL 11926,"PL 11926-A, vote nominal : 2e débat : amendement de N. Buffet-Desfayes Art. 129, al. 3 (nouvelle teneur)",https://ge.ch/grandconseil/data/odj/030108/AN-PL11926A-2.pdf,64.0,31.0,0.0,Modifiant la loi sur l'instruction publique (LIP) (C 1 10) (Formation des enseignants du primaire en 3 ans),C 1 10,PL,Loi sur l’instruction publique (LIP),C,C 1,Instruction publique,"Instruction publique, culture"
142516,030108_AN-PL12868A,2024-01-26 17:57:00,PL 12868,PL 12868,"PL 12868-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL12868A.pdf,52.0,43.0,1.0,"Modifiant la loi générale relative au personnel de l'administration cantonale, du pouvoir judiciaire et des établissements publics médicaux (LPAC) (B 5 05) (Plus de souplesse dans la gestion des ressources humaines au bénéfice de l'ensemble de la fonction publique)",B 5 05,PL,"Loi générale relative au personnel de l’administration cantonale, du pouvoir judiciaire et des établissements publics médicaux (LPAC)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
142612,030108_AN-PL13195A,2024-01-25 22:45:00,PL 13195,PL 13195,"PL 13195-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL13195A.pdf,57.0,27.0,0.0,Modifiant la loi sur les constructions et les installations diverses (LCI) (L 5 05) (Favorisons la transition énergétique),L 5 05,PL,Loi sur les constructions et les installations diverses (LCI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
142509,030108_AN-PL12789A-2,2024-01-25 19:03:00,PL 12789,PL 12789,"PL 12789-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL12789A-2.pdf,50.0,46.0,0.0,"Modifiant la loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l'Etat, du pouvoir judiciaire et des établissements hospitaliers (LTrait) (B 5 15) (Des augmentations annuelles qui tiennent compte du personnel, de la santé budgétaire de l'Etat et de la situation économique du canton)",B 5 15,PL,"Loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l’Etat, du pouvoir judiciaire et des établissements hospitaliers (LTrait)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
142508,030108_AN-PL12789A-1,2024-01-25 19:02:00,PL 12789,PL 12789,"PL 12789-A, vote nominal : 1er débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL12789A-1.pdf,50.0,46.0,0.0,"Modifiant la loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l'Etat, du pouvoir judiciaire et des établissements hospitaliers (LTrait) (B 5 15) (Des augmentations annuelles qui tiennent compte du personnel, de la santé budgétaire de l'Etat et de la situation économique du canton)",B 5 15,PL,"Loi concernant le traitement et les diverses prestations alloués aux membres du personnel de l’Etat, du pouvoir judiciaire et des établissements hospitaliers (LTrait)",B,B 5,"Statuts, traitements et retraite",Organisation du canton
142657,030108_AN-PL13349A,2024-01-25 17:50:00,PL 13349,PL 13349,"PL 13349-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL13349A.pdf,61.0,32.0,0.0,Modifiant la loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC) (B 1 01) (Pour que chaque objet parlementaire ait un répondant au sein du Grand Conseil),B 1 01,PL,Loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
142676,030107_AN-PL13368A,2023-12-15 18:36:00,PL 13368,PL 13368,"PL 13368-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030107/AN-PL13368A.pdf,65.0,23.0,1.0,Modifiant la loi concernant la Chambre des relations collectives de travail (LCRCT) (J 1 15),J 1 15,PL,Loi concernant la Chambre des relations collectives de travail (LCRCT),J,J 1,Relations du travail,Législation sociale
142675,030107_AN-PL13360Avotefinal,2023-12-15 17:57:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360Avotefinal.pdf,55.0,45.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142674,030107_AN-PL13360A-013,2023-12-15 15:59:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 3e débat Amendement transversal de Mme Marti et cosignataires, nature 30, +11 416 502 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-013.pdf,35.0,42.0,17.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
