person_external_id,person_fullname,person_firstname,person_lastname,person_party_fr,person_website_parliament_url_fr,person_image_url,person_birthday,person_occupation_fr,person_gender,person_function_latest_fr
46,Fabienne Gautier,Fabienne,Gautier,L,https://ge.ch/grandconseil/gc/depute/46/,https://ge.ch/grandconseil/data/deputes/depute_photo_21f21b06d69fa30ca7246a3af57c8960.jpg,1949-01-01,Commerçante,f,
47,Aurélie Gavillet,Aurélie,Gavillet,S,https://ge.ch/grandconseil/gc/depute/47/,https://ge.ch/grandconseil/data/deputes/depute_photo_002719d308e9d7cc71f48b3e699e6a72.jpg,1988-01-01,Etudiante et assistante en droit public à l’Université de Genève,f,
479,Norbert Maendly,Norbert,Maendly,UDC,https://ge.ch/grandconseil/gc/depute/479/,https://ge.ch/grandconseil/data/deputes/depute_photo_4526b1e3c58e8bf79ed912bae9df151b.jpg,1953-01-01,Eleveur de cochons,m,
44,Morgane Odier-Gauthier,Morgane,Odier-Gauthier,Ve,https://ge.ch/grandconseil/gc/depute/44/,https://ge.ch/grandconseil/data/deputes/depute_photo_4429fdf8f291f4673d67503eac65fab8.jpg,1975-01-01,Employée,f,
45,Renaud Gautier,Renaud,Gautier,PLR,https://ge.ch/grandconseil/gc/depute/45/,https://ge.ch/grandconseil/data/deputes/depute_photo_dddb4dd4a931a019ff6fd4294c647a24.jpg,1952-01-01,Gérant de biens,m,
455,Gilbert Catelain,Gilbert,Catelain,UDC,https://ge.ch/grandconseil/gc/depute/455/,https://ge.ch/grandconseil/data/deputes/depute_photo_b06ec44f0ca612b4689e4481c8359986.jpg,1965-01-01,"Inspecteur du commerce, DEE",m,
41,Sophie Forster Carbonnier,Sophie,Forster Carbonnier,Ve,https://ge.ch/grandconseil/gc/depute/41/,https://ge.ch/grandconseil/data/deputes/depute_photo_7a00051b6118750a18e30f1f55b73dcd.jpg,1968-01-01,Economiste,f,
442,Daniel Sormanni,Daniel,Sormanni,MCG,https://ge.ch/grandconseil/gc/depute/442/,https://ge.ch/grandconseil/data/deputes/depute_photo_c15c91d0d7c460b0f27e1209e2faf033.jpg,1950-01-01,Ingénieur en protection incendie,m,
42,Fabiano Forte,Fabiano,Forte,PDC,https://ge.ch/grandconseil/gc/depute/42/,https://ge.ch/grandconseil/data/deputes/depute_photo_54908c0822a359455265ea6087935f54.jpg,1976-01-01,Administrateur d’un département médical des Hôpitaux Universitaires de Genève,m,
43,Florian Gander,Florian,Gander,MCG,https://ge.ch/grandconseil/gc/depute/43/,https://ge.ch/grandconseil/data/deputes/depute_photo_fbd6017d13ea42399ebba8864a4a0657.jpg,1978-01-01,"Informaticien, sans employeur",m,
416,Carole-Anne Kast,Carole-Anne,Kast,S,https://ge.ch/grandconseil/gc/depute/416/,https://ge.ch/grandconseil/data/deputes/depute_photo_87e41ad1ebc201ae692a9249b92d1600.jpg,1974-01-01,Conseillère d’Etat,f,
4,Claude Aubert,Claude,Aubert,L,https://ge.ch/grandconseil/gc/depute/4/,https://ge.ch/grandconseil/data/deputes/depute_photo_551c854af526016b83b5af377c7f3968.jpg,1942-01-01,Médecin,m,
40,Michel Forni,Michel,Forni,PDC,https://ge.ch/grandconseil/gc/depute/40/,https://ge.ch/grandconseil/data/deputes/depute_photo_c5b2ea36eb6fa0fe7b50d354fbbc9483.jpg,1946-01-01,Cancérologue,m,
39,Nathalie Fontanet,Nathalie,Fontanet,PLR,https://ge.ch/grandconseil/gc/depute/39/,https://ge.ch/grandconseil/data/deputes/depute_photo_c1be44b360391fad3ceb460576242979.jpg,1965-01-01,Conseillère juridique,f,
37,Emilie Flamand-Lew,Emilie,Flamand-Lew,Ve,https://ge.ch/grandconseil/gc/depute/37/,https://ge.ch/grandconseil/data/deputes/depute_photo_e71875af151323e0a9601a0636708cdd.jpg,1982-01-01,Evaluatrice,f,
350,Thierry Apothéloz,Thierry,Apothéloz,S,https://ge.ch/grandconseil/gc/depute/350/,https://ge.ch/grandconseil/data/deputes/depute_photo_7cf0b1afc2fab1bfe05c6eb0f40d8821.jpg,1971-01-01,Conseiller d’Etat,m,
31,Antoine Droin,Antoine,Droin,S,https://ge.ch/grandconseil/gc/depute/31/,https://ge.ch/grandconseil/data/deputes/depute_photo_9da633d04bb7511607c8722e71f129de.jpg,1959-01-01,Directeur de la Fondation Le Balafon commerce équitable,m,
33,Anne Emery-Torracinta,Anne,Emery-Torracinta,S,https://ge.ch/grandconseil/gc/depute/33/,https://ge.ch/grandconseil/data/deputes/depute_photo_ccf35fc55be10174eb8b9b248f22019c.jpg,1958-01-01,Enseignante,f,
34,Marie-Thérèse Engelberts,Marie-Thérèse,Engelberts,HP,https://ge.ch/grandconseil/gc/depute/34/,https://ge.ch/grandconseil/data/deputes/depute_photo_2b0b8962c6bd6f14c549fda5d3002061.jpg,1945-01-01,Ancienne déléguée CICR,f,
32,Michel Ducret,Michel,Ducret,PLR,https://ge.ch/grandconseil/gc/depute/32/,https://ge.ch/grandconseil/data/deputes/depute_photo_a41d6a7a80fdb0199de10b541fe7f6b6.jpg,1949-01-01,Architecte indépendant,m,
3,Anne Marie von Arx-Vernon,Anne Marie,von Arx-Vernon,PDC,https://ge.ch/grandconseil/gc/depute/3/,https://ge.ch/grandconseil/data/deputes/depute_photo_56f89596f12a5e7759761cea4281a0db.jpg,1948-01-01,Experte en lutte contre la traite des êtres humains et des violences faites aux femmes,f,
289,Jean Rossiaud,Jean,Rossiaud,Ve,https://ge.ch/grandconseil/gc/depute/289/,https://ge.ch/grandconseil/data/deputes/depute_photo_80e6d4154c46326c09551eeacc3286c0.jpg,1960-01-01,"Directeur, Association LES IDEES",m,
30,René Desbaillets,René,Desbaillets,L,https://ge.ch/grandconseil/gc/depute/30/,https://ge.ch/grandconseil/data/deputes/depute_photo_5bf8077d905b73aaf1d5c9e85c34aa23.jpg,1951-01-01,Viticulteur – Encaveur,m,
29,Roger Deneys,Roger,Deneys,S,https://ge.ch/grandconseil/gc/depute/29/,https://ge.ch/grandconseil/data/deputes/depute_photo_5dc01958f88b207ff6c41a2beed08c47.jpg,1963-01-01,Informaticien,m,
272,Michèle Künzler,Michèle,Künzler,Ve,https://ge.ch/grandconseil/gc/depute/272/,https://ge.ch/grandconseil/data/deputes/depute_photo_e1949cb14bf5d415baa5b921b36cc02d.jpg,1961-01-01,Conseillère d’Etat,f,
27,Christian Dandrès,Christian,Dandrès,S,https://ge.ch/grandconseil/gc/depute/27/,https://ge.ch/grandconseil/data/deputes/depute_photo_4b97de3de1e97bf539ca483e173ff891.jpg,1981-01-01,"ASLOCA - Etude Zutter, Locciola, Buche & Associés, avocat",m,
28,Fabien Delaloye,Fabien,Delaloye,MCG,https://ge.ch/grandconseil/gc/depute/28/,https://ge.ch/grandconseil/data/deputes/depute_photo_8756e7f0be0a1162cfbb760bc4105214.jpg,1972-01-01,Ferblantier,m,
271,Antonio Hodgers,Antonio,Hodgers,Ve,https://ge.ch/grandconseil/gc/depute/271/,https://ge.ch/grandconseil/data/deputes/depute_photo_3278c81bdb6e888df8332ad29439e5ac.jpg,1976-01-01,Chef d’entreprise,m,
26,Serge Dal Busco,Serge,Dal Busco,PDC,https://ge.ch/grandconseil/gc/depute/26/,https://ge.ch/grandconseil/data/deputes/depute_photo_83612f0983976ad4001dd594970b405d.jpg,1959-01-01,Ingénieur / Chef d’entreprise,m,
2546,Monika Ducret,Monika,Ducret,LJS,https://ge.ch/grandconseil/gc/depute/2546/,https://ge.ch/grandconseil/data/deputes/depute_photo_90627f13dbb007931400db52c6db08e7.jpg,1966-01-01,Psychologue,f,
2532,Anne Hiltpold,Anne,Hiltpold,PLR,https://ge.ch/grandconseil/gc/depute/2532/,https://ge.ch/grandconseil/data/deputes/depute_photo_63a4bfcd24a60d25a549d125a35c908b.jpg,1973-01-01,Conseillère d’Etat,f,
2506,Pierre Maudet,Pierre,Maudet,LJS,https://ge.ch/grandconseil/gc/depute/2506/,https://ge.ch/grandconseil/data/deputes/depute_photo_f451d3b80e7652e055439a7d49c9d641.jpg,1978-01-01,Conseiller d’Etat,m,
2502,Eric Grand,Eric,Grand,PLR,https://ge.ch/grandconseil/gc/depute/2502/,https://ge.ch/grandconseil/data/deputes/depute_photo_8766665fc522fa4fec7086512f5e239d.jpg,1968-01-01,Conducteur de travaux - Architecte et ingénieur,m,
2501,Philippe Perrenoud,Philippe,Perrenoud,UDC,https://ge.ch/grandconseil/gc/depute/2501/,https://ge.ch/grandconseil/data/deputes/depute_photo_4d1557e1ee2a0760f084dc285a4cb78c.jpg,1964-01-01,Chef circulation train,m,
2499,Maria José Quijano Garcia,Maria José,Quijano Garcia,Ve,https://ge.ch/grandconseil/gc/depute/2499/,https://ge.ch/grandconseil/data/deputes/depute_photo_7619cd72d6e6552d09bf8802e692c7f7.jpg,1981-01-01,Secrétaire à l’AFM-GE,f,
2497,Anne Bonvin Bonfanti,Anne,Bonvin Bonfanti,Ve,https://ge.ch/grandconseil/gc/depute/2497/,https://ge.ch/grandconseil/data/deputes/depute_photo_3bc10ac8c8771026f7d7489518d2d6ec.jpg,1977-01-01,"Conseillère de direction en charge de la communication, Ville de Genève",f,
25,Edouard Cuendet,Edouard,Cuendet,PLR,https://ge.ch/grandconseil/gc/depute/25/,https://ge.ch/grandconseil/data/deputes/depute_photo_4cd6319e70ca526f438d17938f1ae73f.jpg,1967-01-01,"Avocat - Directeur, Fondation Genève Place Financière",m,
2495,Aude Martenot,Aude,Martenot,EAG,https://ge.ch/grandconseil/gc/depute/2495/,https://ge.ch/grandconseil/data/deputes/depute_photo_e0a600432583a5c5f74f3310c8a497ab.jpg,1986-01-01,Secrétaire générale ONG - Chargée de projet à l’observatoire romand du droit d’asile et des étrangers - Secrétaire du Conseil de Fondation Partage,f,
2493,Maria Vittoria Romano,Maria Vittoria,Romano,S,https://ge.ch/grandconseil/gc/depute/2493/,https://ge.ch/grandconseil/data/deputes/depute_photo_d1d88650e23ec47268026c24fe99aff6.jpg,1966-01-01,Responsable RH UNIGE (cadre supérieur),f,
2496,Sébastien Thomas,Sébastien,Thomas,UDC,https://ge.ch/grandconseil/gc/depute/2496/,https://ge.ch/grandconseil/data/deputes/depute_photo_876cdb0f7cc9be5bf84df07710a90a40.jpg,1995-01-01,"Pâtissier, Jowa SA",m,
